Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 14:56:28:31.50,0,-1.087362,0.7584096,-0.6269156,282.2978,35.84469,145.0684
2018-11-27 14:56:28:31.50,1,-1.349676,0.8254396,-0.6081255,81.62023,221.2706,223.0429
2018-11-27 14:56:28:31.50,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.54,0,-1.08738,0.7582995,-0.6268837,282.2943,35.82892,145.0764
2018-11-27 14:56:28:31.54,1,-1.356244,0.8228483,-0.6104135,81.8812,232.758,234.5112
2018-11-27 14:56:28:31.54,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.58,0,-1.087402,0.758318,-0.6269339,282.2991,35.78951,145.1133
2018-11-27 14:56:28:31.58,1,-1.336954,0.8139957,-0.6009616,81.75774,239.4449,240.2301
2018-11-27 14:56:28:31.58,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.62,0,-1.087309,0.7583297,-0.6269194,282.2928,35.76923,145.1311
2018-11-27 14:56:28:31.62,1,-1.32137,0.8047918,-0.5896776,80.99488,246.2487,246.657
2018-11-27 14:56:28:31.62,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.66,0,-1.087315,0.7583291,-0.6269292,282.2942,35.73656,145.1543
2018-11-27 14:56:28:31.66,1,-1.317448,0.7993621,-0.5860826,81.88618,246.3356,245.5192
2018-11-27 14:56:28:31.66,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.70,0,-1.087294,0.7583385,-0.6269359,282.2881,35.70913,145.1707
2018-11-27 14:56:28:31.70,1,-1.312135,0.7929698,-0.5825318,82.4553,251.1211,249.4344
2018-11-27 14:56:28:31.70,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.74,0,-1.087295,0.7583414,-0.626933,282.293,35.72148,145.1549
2018-11-27 14:56:28:31.74,1,-1.321004,0.7857144,-0.5871859,83.1691,252.8321,251.1577
2018-11-27 14:56:28:31.74,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.78,0,-1.087369,0.758308,-0.6269481,282.2877,35.71234,145.1689
2018-11-27 14:56:28:31.78,1,-1.32986,0.7850137,-0.592607,83.22127,247.1427,244.6432
2018-11-27 14:56:28:31.78,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.82,0,-1.087329,0.7584069,-0.6269105,282.2917,35.71584,145.1676
2018-11-27 14:56:28:31.82,1,-1.326128,0.785085,-0.5923924,81.96024,247.5782,245.0696
2018-11-27 14:56:28:31.82,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.86,0,-1.087259,0.7581787,-0.6269102,282.2764,35.67671,145.1974
2018-11-27 14:56:28:31.86,1,-1.324691,0.7824614,-0.5906647,84.96227,262.5043,259.1414
2018-11-27 14:56:28:31.86,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.90,0,-1.087218,0.7582231,-0.6268787,282.2906,35.77038,145.1169
2018-11-27 14:56:28:31.90,1,-1.320881,0.7879834,-0.5882927,84.66859,255.5539,252.3836
2018-11-27 14:56:28:31.90,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:29:31.94,0,-1.087209,0.7582857,-0.6269347,282.3082,35.87028,145.0282
2018-11-27 14:56:29:31.94,1,-1.319468,0.7880192,-0.5880609,83.61054,267.5352,264.7982
2018-11-27 14:56:29:31.94,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
